scientific_name,common_name,listing_location,listing_region,esa_status,group
Pleuronaia dolabelloides,Slabside Pearlymussel,Wherever found,4,Endangered,Clams
Erimystax cahni,Slender chub,U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i)),4,"Experimental Population, Non-Essential",Fishes
Theliderma sparsa,Appalachian monkeyface (pearlymussel),USA (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Percina antesella,Amber darter,Wherever found,4,Endangered,Fishes
Lampsilis rafinesqueana,Neosho Mucket,Wherever found,4,Endangered,Clams
Obovaria retusa,Ring pink (mussel),Wherever found,4,Endangered,Clams
Theliderma intermedia,Cumberland monkeyface (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Cambarus aculabrum,Benton County cave crayfish,Wherever found,4,Endangered,Crustaceans
Epioblasma florentina florentina,Yellow blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Elliptoideus sloatianus,Purple bankclimber (mussel),Wherever found,4,Threatened,Clams
Dromus dromas,Dromedary pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Pleurobema athearni,Canoe Creek Clubshell,Wherever found,4,Endangered,Clams
Fusconaia cor,Shiny pigtoe,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Chrosomus saylori,Laurel dace,Wherever found,4,Endangered,Fishes
Pleurobema decisum,Southern clubshell,Wherever found,4,Endangered,Clams
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams
Epioblasma othcaloogensis,Southern acornshell,Wherever found,4,Endangered,Clams
Hemistena lata,Cracking pearlymussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Etheostoma moorei,Yellowcheek Darter,Wherever found,4,Endangered,Fishes
Etheostoma phytophilum,Rush Darter,Wherever found,4,Endangered,Fishes
Notropis cahabae,Cahaba shiner,Wherever found,4,Endangered,Fishes
Etheostoma akatulo,bluemask darter,Wherever found,4,Endangered,Fishes
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Erimystax cahni,Slender chub,Wherever found,4,Threatened,Fishes
Villosa trabalis,Cumberland bean (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Plethobasus cicatricosus,White wartyback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Epioblasma capsaeformis,Oyster mussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Athearnia anthonyi,Anthony's riversnail,Wherever found; Except where listed as Experimental Populations,4,Endangered,Snails
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Elliptio chipolaensis,Chipola slabshell,Wherever found,4,Threatened,Clams
Percina jenkinsi,Conasauga logperch,Wherever found,4,Endangered,Fishes
Etheostoma okaloosae,Okaloosa darter,Wherever found,4,Threatened,Fishes
