scientific_name,common_name,listing_location,listing_region,esa_status,group,Url
Erimonax monachus,Spotfin Chub,"U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))",4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/1521
Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii)),4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/1521
Erimystax cahni,Slender chub,U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i)),4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/6637
Erimystax cahni,Slender chub,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/6637
Etheostoma akatulo,bluemask darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/3969
Etheostoma boschungi,Slackwater darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/8058
Etheostoma chermocki,Vermilion darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/296
Etheostoma chienense,Relict darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/1979
Etheostoma etowahae,Etowah darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/4123
Etheostoma moorei,Yellowcheek Darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/7871
Etheostoma nuchale,Watercress darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/1838
Etheostoma okaloosae,Okaloosa darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/914
Etheostoma percnurum,Duskytail darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/891
Etheostoma percnurum,Duskytail darter,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/891
Etheostoma percnurum,Duskytail darter,"Tellico River, TN",4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/891
