YEAR,CLASS,SCIENTIFIC NAME,COMMON NAME,GLOBAL RANK,STATE RANK,FEDERAL STATUS,STATE STATUS,,,,,,,,,
2003,Fishes,Notropis buchanani,ghost shiner,G5,S2,,,,,,,,,,,
2003,Fishes,Notropis cahabae,Cahaba shiner,G2,S2,LE,SP,,,,,,,,,
2003,Fishes,Notropis chalybaeus,ironcolor shiner,G4,S1,,,,,,,,,,,
2003,Fishes,Notropis cummingsae,dusky shiner,G5,S2,,,,,,,,,,,
2003,Fishes,Notropis harperi,redeye chub,G4,S3,,,,,,,,,,,
2003,Fishes,Notropis hypsilepis,highscale shiner,G3,S2,,,,,,,,,,,
2003,Fishes,Notropis leuciodus,Tennessee shiner,G5,S1,,,,,,,,,,,
2003,Fishes,Notropis maculatus,taillight shiner,G5,S4,,,,,,,,,,,
2003,Fishes,Notropis petersoni,coastal shiner,G5,S2,,,,,,,,,,,
2003,Fishes,Notropis photogenis,silver shiner,G5,S1,,,,,,,,,,,
2003,Fishes,Notropis rubellus,rosyface shiner,G5,S2,,,,,,,,,,,
2003,Fishes,Notropis sp 4,sawfin shiner,G4,S2,,,,,,,,,,,
2003,Fishes,Notropis stramineus,sand shiner,G5,S1,,,,,,,,,,,
2003,Fishes,Notropis telescopus,telescope shiner,G5,S3,,,,,,,,,,,
2003,Fishes,Notropis uranoscopus,skygazer shiner,G3,S2,,,,,,,,,,,
2003,Fishes,Notropis wickliffi,channel shiner,G5,S1,,,,,,,,,,,
2003,Fishes,Phenacobius mirabilis,suckermouth minnow,G5,S1,,,,,,,,,,,
2003,Fishes,Phenacobius uranops,stargazing minnow,G4,S1,,,,,,,,,,,
2003,Fishes,Phoxinus erythrogaster,southern redbelly dace,G5,S3,,,,,,,,,,,
2003,Fishes,Pteronotropis euryzonus,broadstripe shiner,G3,S2,,,,,,,,,,,
2003,Fishes,Pteronotropis signipinnis,flagfin shiner,G5,S3,,,,,,,,,,,
2003,Fishes,Pteronotropis welaka,bluenose shiner,G3G4,S2,,,,,,,,,,,
2003,Fishes,Atractosteus spatula,alligator gar,G3G4,S2,,,,,,,,,,,
2003,Fishes,Lepisosteus platostomus,shortnose gar,G5,SH,,,,,,,,,,,
2003,Fishes,Hiodon alosoides,goldeye,G5,SX,,,,,,,,,,,
2003,Fishes,Hiodon tergisus,mooneye,G5,S3S4,,,,,,,,,,,
2003,Fishes,Elassoma alabamae,spring pygmy sunfish,G1,S1,SP,,,,,,,,,,
2003,Fishes,Elassoma evergladei,Everglades pygmy sunfish,G5,S3,,,,,,,,,,,
2003,Fishes,Enneacanthus gloriosus,bluespotted sunfish,G5,S3,,,,,,,,,,,
2003,Fishes,Enneacanthus obesus,banded sunfish,G5,S1,,,,,,,,,,,
2003,Fishes,Micropterus cataractae,shoal bass,G3,S2,,,,,,,,,,,
2003,Fishes,Ammocrypta vivax,scaly sand darter,G5,S3,,,,,,,,,,,
2003,Fishes,Crystallaria asprella,crystal darter,G3,S3,,SP,,,,,,,,,
2003,Fishes,Etheostoma bellator,warrior darter,G2,S2,,,,,,,,,,,
2003,Fishes,Etheostoma bifascia,Florida sand darter,G4,S3,,,,,,,,,,,
2003,Fishes,Etheostoma blennioides,greenside darter,G5,S3,,,,,,,,,,,
2003,Fishes,Etheostoma blennius,blenny darter,G4,S1,,,,,,,,,,,
2003,Fishes,Etheostoma boschungi,slackwater darter,G1,S2,LT,SP,,,,,,,,,
2003,Fishes,Etheostoma brevirostrum,holiday darter,G2,S1,,SP,,,,,,,,,
2003,Fishes,Etheostoma camurum,bluebreast darter,G4,S1,,,,,,,,,,,
2003,Fishes,Etheostoma chermocki,vermilion darter,G1,S1,LE,SP,,,,,,,,,
2003,Fishes,Etheostoma chuckwachatte,lipstick darter,G2G3,S2,,,,,,,,,,,
2003,Fishes,Etheostoma cinereum,ashy darter,G2G3,SX,,,,,,,,,,,
2003,Fishes,Etheostoma corona,crown darter,G3,S2,,,,,,,,,,,
2003,Fishes,Etheostoma crossopterum,fringed darter,G4,S1,,,,,,,,,,,
2003,Fishes,Etheostoma davisoni,Choctawhatchee darter,G4,S3,,,,,,,,,,,
2003,Fishes,Etheostoma ditrema,coldwater darter,G1G2,S1,,SP,,,,,,,,,
2003,Fishes,Etheostoma douglasi,Tuscaloosa darter,G2,S2,,,,,,,,,,,
2003,Fishes,Etheostoma flabellare,fantail darter,G5,S3,,,,,,,,,,,
2003,Fishes,Etheostoma fusiforme,swamp darter,G5,S3,,,,,,,,,,,
2003,Fishes,Etheostoma histrio,harlequin darter,G5,S3,,,,,,,,,,,
2003,Fishes,Etheostoma jessiae,blueside darter,G4Q,S3,,,,,,,,,,,
2003,Fishes,Etheostoma kennicotti,stripetail darter,G4G5,S3,,,,,,,,,,,
2003,Fishes,Etheostoma lynceum,brighteye darter,G5,S1,,,,,,,,,,,
2003,Fishes,Etheostoma neopterum,lollipop darter,G3,S1,,SP,,,,,,,,,
2003,Fishes,Etheostoma nuchale,watercress darter,G1,S1,LE,SP,,,,,,,,,
2003,Fishes,Etheostoma phytophilum,rush darter,G1,S1,C,,,,,,,,,,
2003,Fishes,Etheostoma rufilineatum,redline darter,G5,S3,,,,,,,,,,,
2003,Fishes,Etheostoma simoterum,snubnose darter,G5,S3,,,,,,,,,,,
2003,Fishes,Etheostoma sp 1,Upper Coosa darter nr. E. ditrema,G1G2Q,S1,,,,,,,,,,,
2003,Fishes,Etheostoma sp 3,Lower Coosa darter nr. E. ditrema,G1G2Q,S1,,,,,,,,,,,
2003,Fishes,Etheostoma tallapoosae,Tallapoosa darter,G4,S3,,,,,,,,,,,
2003,Fishes,Etheostoma trisella,trispot darter,G1,SH,,,,,,,,,,,
2003,Fishes,Etheostoma tuscumbia,Tuscumbia darter,G2,S2,,SP,,,,,,,,,
2003,Fishes,Etheostoma wapiti,boulder darter,G1,S1,LE,SP,,,,,,,,,
2003,Fishes,Etheostoma zonale,banded darter,G5,S2,,,,,,,,,,,
2003,Fishes,Etheostoma zonifer,backwater darter,G3G4,S3,,,,,,,,,,,
2003,Fishes,Etheostoma zonistium,bandfin darter,G4G5,S1,,,,,,,,,,,
2003,Fishes,Perca flavescens,yellow perch,G5,S2,,,,,,,,,,,
2003,Fishes,Percina aurolineata,goldline darter,G2,S1,LT,SP,,,,,,,,,
2003,Fishes,Percina austroperca,southern logperch,G3,S2,,,,,,,,,,,
2003,Fishes,Percina brevicauda,coal darter,G2,S2,,,,,,,,,,,
2003,Fishes,Percina burtoni,blotchside darter,G2,S1,,,,,,,,,,,
2003,Fishes,Percina evides,gilt darter,G4,S2,,,,,,,,,,,
2003,Fishes,Percina lenticula,freckled darter,G2,S2S3,,,,,,,,,,,
2003,Fishes,Percina palmaris,bronze darter,G4,S3,,,,,,,,,,,
2003,Fishes,Percina phoxocephala,slenderhead darter,G5,S1,,,,,,,,,,,
2003,Fishes,Percina shumardi,river darter,G5,S3,,,,,,,,,,,
2003,Fishes,Percina sp 10,Sipsey fork darter,G1Q,S1,,,,,,,,,,,
2003,Fishes,Percina sp 3,muscadine darter,G2Q,S3,,,,,,,,,,,
2003,Fishes,Percina sp 9,bridled darter,G1Q,S1,,,,,,,,,,,
2003,Fishes,Percina suttkusi,Gulf logperch,G5,S3,,,,,,,,,,,
2003,Fishes,Percina tanasi,snail darter,G2G3,S1,LT,SP,,,,,,,,,
2003,Fishes,Stizostedion sp 1,southern walleye,G3,S3,,,,,,,,,,,
2003,Fishes,Speoplatyrhinus poulsoni,Alabama cavefish,G1,S1,LE,SP,,,,,,,,,
2003,Fishes,Typhlichthys subterraneus,southern cavefish,G4,S3,,SP,,,,,,,,,
2003,Fishes,Ichthyomyzon castaneus,chestnut lamprey,G4,S2,,,,,,,,,,,
2003,Fishes,Ichthyomyzon greeleyi,mountain brook lamprey,G3G4,S1,,,,,,,,,,,
2003,Fishes,Lampetra appendix,American brook lamprey,G4,S1,,,,,,,,,,,
2003,Fishes,Cottus bairdi,mottled sculpin,G5,S2,,,,,,,,,,,
2003,Fishes,Cottus paulus,pygmy sculpin,G1,S1,LT,SP,,,,,,,,,
2003,Fishes,Ameiurus brunneus,snail bullhead,G4,S3,,,,,,,,,,,
2003,Fishes,Ameiurus catus,white catfish,G5,S3,,,,,,,,,,,
2003,Fishes,Ameiurus serracanthus,spotted bullhead,G3,S2,,,,,,,,,,,
